subject,message
"Analytics Report Available","The latest analytics report is available at {url}."
"Order Shipping Address","Can you confirm the shipping address for the order?"
"Team Photo Posted","The new team photo is posted in the shared folder."
"Presentation Slide Review","Please review the attached slides for the upcoming presentation."
"Projector Equipment Issue","The meeting room projector isn't working, can someone bring a spare?"
"Bug Report Upload","I uploaded the latest bug report to the shared drive, please review."
"Q3 Deliverables Summary","The client wants a summary of our Q3 deliverables by tomorrow."
"Onboarding Process Update","Please update the onboarding guide with the new process changes."
"Next Week Menu","The cafeteria menu for next week is available at {url}."
"Monthly Expense Check","Can you double-check the figures in the monthly expense report?"
"Logo Download Files","The new logo files are ready for download at {url}."
"iOS 15 Crash Investigation","I noticed the app is crashing on iOS 15, can you investigate?"
"Out-of-Office Status","Please remember to update your out-of-office status in the calendar."
"KPI Dashboard Refresh","The team dashboard has been refreshed with the latest KPIs."
"Design Review Time","Can you confirm the time for the design review tomorrow?"
"Second Floor Printer","The printer on the second floor is jammed again."
"Project Milestones Added","I added the new project milestones to the tracker."
"Next Audit Checklist","Please review the attached checklist before the next audit."
"Requirements Details Update","The client sent over updated requirements, see details at {url}."
"VPN Afternoon Troubleshoot","Can you help troubleshoot the VPN connection this afternoon?"
"Marketing Assets Available","The new marketing assets are available at {url}."
"HR Portal Contact Update","Please update your emergency contact information in the HR portal."
"Friday Night Migration","The server migration is scheduled for Friday night."
"Deploy Test Cases","Can you review the test cases before we deploy the update?"
"Release Notes Posted","The latest release notes are posted at {url}."
"Homepage Banner Typo","I noticed a typo in the homepage banner, can you fix it?"
"Revised Contract Check","Please check the shared folder for the revised contract."
"Wednesday Team Lunch","The team lunch is scheduled for Wednesday at noon."
"Staging Server Credentials","Can you resend the access credentials for the staging server?"
"Privacy Policy Updated","The updated privacy policy is available at {url}."
"Client Meeting Slides","Please review the attached slides before the client meeting."
"Employee Handbook Posted","The new employee handbook is posted at {url}."
"Training Session Attendance","Can you confirm your attendance for the training session?"
"Backup Success Last Night","The backup completed successfully last night."
"Yesterday Error Logs","Please check the error logs for any issues from yesterday."
"End of Day Demo","The client requested a demo recording by end of day."
"Documentation References Added","I added the missing references to the documentation."
"Project Tracker Status","Please update your status in the project tracker."
"Feature Branch Review","The new feature branch is ready for review at {url}."
"Tomorrow Webinar Setup","Can you help with the setup for the webinar tomorrow?"
"Compliance Checklist Available","The latest compliance checklist is available at {url}."
"Proposal Feedback Request","Please review the attached proposal and provide feedback."
"Weekend Maintenance Closure","The office will be closed for maintenance this weekend."
"Staging Password Test","Can you test the password reset functionality on staging?"
"Style Guide Updated","The updated style guide is available at {url}."
"Template Drive Check","Please check the shared drive for the latest templates."
"Beta Version Access","The client requested access to the beta version."
"Supplier Delivery Confirmation","Can you confirm the delivery date with the supplier?"
"Project Plan Available","The new project plan is available at {url}."
"Meeting Agenda Review","Please review the attached agenda for the meeting."
"Team Photo Folder","The team photo from last week is in the shared folder."
"Network Connectivity Help","Can you help troubleshoot the network connectivity issue?"
"Onboarding Checklist Posted","The updated onboarding checklist is posted at {url}."
"Inventory New Order","Please check the inventory before placing a new order."
"Additional Feedback URL","The client sent over additional feedback at {url}."
"Main Branch Code Review","Can you review the code changes before merging to main?"
"Office Layout Posted","The new office layout is posted at {url}."
"Next Week Availability","Please update your availability for next week."
"Latest Bug Fixes","The latest bug fixes are included in this release."
"Project Review Call","Can you confirm the time for the project review call?"
"Team Guidelines Available","The new team guidelines are available at {url}."
"Latest Assets Folder","Please check the shared folder for the latest assets."
"Final Report Copy","The client requested a copy of the final report."
"Product Demo Setup","Can you help with the setup for the product demo?"
"Documentation Updated","The updated documentation is available at {url}."
"Checklist Completeness Review","Please review the attached checklist for completeness."
"Office Policies Posted","The new office policies are posted at {url}."
"Deployment Schedule Confirm","Can you confirm the schedule for the deployment?"
"Requirements Document URL","The client sent over new requirements, see the document at {url}."
"Android Latest Version","Please test the app on the latest Android version."
"Coffee Machine Maintenance","The office coffee machine is out of order, maintenance has been notified."
"Presentation Deck Slides","I added the missing slides to the presentation deck."
"Project Tracker Status","Please update your status in the project tracker."
"Onboarding Checklist Available","The new onboarding checklist is available at {url}."
"Tomorrow Meeting Agenda","Can you confirm the agenda for tomorrow's meeting?"
"Last Week Activities","The client requested a summary of last week's activities."
"Updated Invoice Folder","Please check the shared folder for the updated invoice."
"Release Notes Posted","The latest release notes are posted at {url}."
"Spreadsheet Accuracy Review","Can you review the attached spreadsheet for accuracy?"
"Friday Noon Lunch","The team lunch is scheduled for Friday at noon."
"Directory Contact Update","Please update your emergency contact information in the directory."
"Marketing Materials Review","The new marketing materials are ready for review."
"Network Connectivity Issue","Can you help troubleshoot the network connectivity issue?"
"Project Plan Updated","The updated project plan is available at {url}."
"Recent Error Logs","Please check the error logs for any recent issues."
"New Dashboard Walkthrough","The client requested a walkthrough of the new dashboard."
"Main Code Review","Can you review the code changes before merging to main?"
"HR Folder Paperwork","The new hire paperwork is in the HR folder."
"Staging Password Reset","Please test the password reset functionality on staging."
"Style Guide Updated","The updated style guide is available at {url}."
"Supplier Delivery Date","Can you confirm the delivery date with the supplier?"
"Failed Login Server","The server logs show several failed login attempts."
"Proposal Feedback Review","Please review the attached proposal and provide feedback."
"Office Layout Posted","The new office layout is posted at {url}."
"Training Session Setup","Can you help with the setup for the training session?"
"Demo Recording EOD","The client requested a demo recording by end of day."
"Upcoming Deadlines Calendar","Please check the shared calendar for upcoming deadlines."
"Latest Compliance Checklist","The latest compliance checklist is available at {url}."
"FAQ Recent Changes","Can you update the FAQ with the recent changes?"
"Last Week Team Photo","The team photo from last week is in the shared folder."
"Contract Review Signing","Please review the attached contract before signing."
"New Project Plan","The new project plan is available at {url}."
"Payment Gateway Integration","Can you test the integration with the payment gateway?"
"Morning Requirements Update","The client sent over updated requirements this morning."
"Critical Error Logs","Please check the error logs for any critical issues."
"Onboarding Checklist Posted","The updated onboarding checklist is posted at {url}."
"Delivery Address Confirm","Can you confirm the delivery address for the shipment?"
"Marketing Assets Drive","The new marketing assets are in the shared drive."
"Tomorrow Meeting Slides","Please review the attached slides for tomorrow's meeting."
"Timeline Revision Details","The project timeline has been revised, see details at {url}."
